"anem_table_id","sample_id","size","anem_id","old_anem_id"
1027,"APCL16_602",4.3,2072,NA
1035,"APCL16_610",3.7,2503,691
1036,"APCL16_617",9.7,NA,NA
1047,"APCL16_622",4.3,2504,NA
1054,"APCL16_629",7.2,2505,930
1055,"APCL16_636",4,NA,NA
1070,"APCL16_648",7.4,2509,NA
1071,"APCL16_655",8.3,NA,NA
1137,"APCL16_684",5.4,2525,NA
1143,"APCL16_690",7.9,2149,NA
1147,"APCL16_691",7.5,2529,NA
1159,"APCL16_705",7.3,2157,NA
1178,"APCL16_726",4.7,2544,738
1194,"APCL16_737",4.3,2548,NA
1200,"APCL16_744",8.2,2553,NA
1207,"APCL16_754",3.7,2136,NA
1213,"APCL16_762",12.5,2559,NA
1216,"APCL16_768",11.8,2560,757
1220,"APCL16_772",9.9,2002,NA
1257,"APCL16_798",7.1,2578,NA
1267,"APCL16_801",8,2036,NA
1297,"APCL16_807",9.2,2579,NA
1311,"APCL16_814",8.2,NA,NA
